timestamp_utc,model_id,allocation_mode,action,action_source,allocation_state,fallback_used,fallback_reason,submit_orders,orders_allowed,rebalance_reason,cancel_open_orders,cancel_status,cancelled_orders,account_status,portfolio_value,equity,cash,n_target_symbols,n_planned_orders,n_submitted_orders,metadata_winning_variant
2026-05-09T14:07:44.664085+00:00,br_ppo_crypto_v7,ppo,v7_symbolic_optuna_00__long_top,default_action_fallback,fixed_default,true,"ValueError('Error: Unexpected observation shape (575,) for Box environment, please use (1011,) or (n_env, 1011) for the observation shape.')",true,true,first_run,true,ok,0,connected,1000000.0,1000000.0,1000000.0,3,3,3,V7_Ultimate_YahooOnly_Sharpe_Factory__fixed__v7_symbolic_optuna_00__long_top
2026-05-09T14:18:41.978324+00:00,br_ppo_crypto_v7,ppo,v7_symbolic_optuna_00__long_top,default_action_fallback,fixed_default,true,"UnboundLocalError(""cannot access local variable 'model' where it is not associated with a value"")",true,false,rebalance_wait_elapsed_days_0_threshold_10,true,not_requested,0,connected,1000000.0,1000000.0,1000000.0,3,0,0,V7_Ultimate_YahooOnly_Sharpe_Factory__fixed__v7_symbolic_optuna_00__long_top
2026-05-09T14:24:54.004116+00:00,br_ppo_crypto_v7,ppo,v7_symbolic_optuna_06__long_top,ppo_ensemble_model,ppo_proxy_state_exact_shape,false,,true,false,rebalance_wait_elapsed_days_0_threshold_10,true,not_requested,0,connected,1000000.0,1000000.0,1000000.0,3,0,0,V7_Ultimate_YahooOnly_Sharpe_Factory__fixed__v7_symbolic_optuna_00__long_top
2026-05-09T14:32:48.275902+00:00,br_ppo_crypto_v7,ppo,v7_symbolic_optuna_06__long_top,ppo_ensemble_model,ppo_proxy_state_exact_shape,false,,true,true,force_rebalance,true,ok,0,connected,1000000.0,1000000.0,1000000.0,3,3,3,V7_Ultimate_YahooOnly_Sharpe_Factory__fixed__v7_symbolic_optuna_00__long_top
2026-05-11T12:01:49.238680+00:00,br_ppo_crypto_v7,ppo,v7_symbolic_optuna_06__long_top,ppo_ensemble_model,ppo_proxy_state_exact_shape,false,,true,false,rebalance_wait_elapsed_days_1_threshold_10,false,not_requested,0,connected,1000000.0,1000000.0,1000000.0,3,0,0,V7_Ultimate_YahooOnly_Sharpe_Factory__fixed__v7_symbolic_optuna_00__long_top
2026-05-11T13:50:09.569294+00:00,br_ppo_crypto_v7,ppo,v7_symbolic_optuna_06__long_top,ppo_ensemble_model,ppo_proxy_state_exact_shape,false,,true,false,rebalance_wait_elapsed_days_1_threshold_10,false,not_requested,0,connected,1001566.42,1001566.42,0.0,3,0,0,V7_Ultimate_YahooOnly_Sharpe_Factory__fixed__v7_symbolic_optuna_00__long_top
2026-05-11T20:05:03.364323+00:00,br_ppo_crypto_v7,ppo,v7_symbolic_optuna_06__long_top,ppo_ensemble_model,ppo_proxy_state_exact_shape,false,,true,false,rebalance_wait_elapsed_days_2_threshold_10,false,not_requested,0,connected,1001900.58,1001900.58,0.0,3,0,0,V7_Ultimate_YahooOnly_Sharpe_Factory__fixed__v7_symbolic_optuna_00__long_top
2026-05-12T00:05:07.330497+00:00,br_ppo_crypto_v7,ppo,v7_symbolic_optuna_06__long_top,ppo_ensemble_model,ppo_proxy_state_exact_shape,false,,true,false,rebalance_wait_elapsed_days_2_threshold_10,false,not_requested,0,connected,1001718.93,1001718.93,0.0,3,0,0,V7_Ultimate_YahooOnly_Sharpe_Factory__fixed__v7_symbolic_optuna_00__long_top
2026-05-12T11:12:32.599820+00:00,br_ppo_crypto_v7,ppo,v7_symbolic_optuna_06__long_top,ppo_ensemble_model,ppo_proxy_state_exact_shape,false,,true,false,rebalance_wait_elapsed_days_2_threshold_10,false,not_requested,0,connected,997207.75,997207.75,0.0,3,0,0,V7_Ultimate_YahooOnly_Sharpe_Factory__fixed__v7_symbolic_optuna_00__long_top
2026-05-12T20:04:09.848306+00:00,br_ppo_crypto_v7,ppo,v7_symbolic_optuna_06__long_top,ppo_ensemble_model,ppo_proxy_state_exact_shape,false,,true,false,rebalance_wait_elapsed_days_3_threshold_10,false,not_requested,0,connected,997860.23,997860.23,0.0,3,0,0,V7_Ultimate_YahooOnly_Sharpe_Factory__fixed__v7_symbolic_optuna_00__long_top
