timestamp_utc,symbol,side,notional,target_value,current_value,delta_value,order_type,time_in_force,submitted,alpaca_order_id,status,submitted_at
2026-05-09T14:07:43.301203+00:00,BIL,buy,100000.0,100000.0,0.0,100000.0,market,day,True,f0357231-9e7b-4608-9c71-3e5db3b06226,accepted,2026-05-09T14:07:43.602029+00:00
2026-05-09T14:07:43.301241+00:00,QQQ,buy,300000.0,300000.0,0.0,300000.0,market,day,True,3d119adb-b762-4f06-95bd-a9b0481c07a9,accepted,2026-05-09T14:07:43.902267+00:00
2026-05-09T14:07:43.301248+00:00,SPY,buy,600000.0,600000.0,0.0,600000.0,market,day,True,4bffc0af-c04e-49af-b4b1-805120431953,accepted,2026-05-09T14:07:44.463931+00:00
