timestamp_utc,action,symbol,target_weight
2026-05-11T13:50:09.569643+00:00,v7_symbolic_optuna_06__long_top,BIL,0.1
2026-05-11T13:50:09.569651+00:00,v7_symbolic_optuna_06__long_top,QQQ,0.3
2026-05-11T13:50:09.569654+00:00,v7_symbolic_optuna_06__long_top,SPY,0.6
