timestamp_utc,symbol,qty,market_value,avg_entry_price,current_price,unrealized_pl,unrealized_plpc
2026-05-16T00:00:36.417100+00:00,BIL,1093.135111499,100054.656756,91.48,91.53,54.656756,0.00055
2026-05-16T00:00:36.417109+00:00,QQQ,421.050687947,297308.101266,712.503289,706.11,-2691.898732,-0.00897
2026-05-16T00:00:36.417114+00:00,SPY,814.498065567,602052.535125,736.65,739.17,2052.535125,0.00342
