timestamp_utc,portfolio_value,equity,cash,long_value,short_value,buying_power,n_positions
2026-05-09T14:07:44.664128+00:00,1000000.0,1000000.0,1000000.0,0,0,2000000.0,0
2026-05-09T14:18:41.978338+00:00,1000000.0,1000000.0,1000000.0,0,0,2000000.0,0
2026-05-09T14:24:54.004130+00:00,1000000.0,1000000.0,1000000.0,0,0,2000000.0,0
2026-05-09T14:32:48.275947+00:00,1000000.0,1000000.0,1000000.0,0,0,2000000.0,0
2026-05-11T12:01:49.238693+00:00,1000000.0,1000000.0,1000000.0,0,0,1000000.0,0
2026-05-11T13:50:09.569309+00:00,1001566.42,1001566.42,0.0,1001549.71,0.0,1001566.42,3
2026-05-11T20:05:03.364338+00:00,1001900.58,1001900.58,0.0,1001900.58,0.0,1001900.58,3
2026-05-12T00:05:07.330512+00:00,1001718.93,1001718.93,0.0,1001718.93,0.0,1001718.93,3
2026-05-12T11:12:32.599836+00:00,997207.75,997207.75,0.0,997207.75,0.0,997207.75,3
2026-05-12T20:04:09.848323+00:00,997860.23,997860.23,0.0,997860.23,0.0,997860.23,3
2026-05-13T00:07:37.504469+00:00,997417.74,997417.74,0.0,997417.74,0.0,997417.74,3
